10000	0.000
10217.07317	0.726
10434.14634	0.874
10651.21951	1.014
10868.29268	1.117
11085.36585	1.247
11302.43902	1.385
11519.5122	1.446
11736.58537	1.524
11953.65854	1.591
12170.73171	1.624
12387.80488	1.656
12604.87805	1.671
12821.95122	1.693
13039.02439	1.686
13256.09756	1.677
13473.17073	1.675
13690.2439	1.652
13907.31707	1.625
14124.39024	1.609
14341.46341	1.575
14558.53659	1.551
14775.60976	1.537
14992.68293	1.506
15209.7561	1.491
15426.82927	1.470
15643.90244	1.459
15860.97561	1.433
16078.04878	1.410
16295.12195	1.411
16512.19512	1.390
16729.26829	1.343
16946.34146	1.303
17163.41463	1.279
17380.4878	1.233
17597.56098	1.216
17814.63415	1.170
18031.70732	1.101
18248.78049	1.063
18465.85366	0.999
18682.92683	0.954
18900	0.821
19000	0.0
